Intent Name,Training Phrases (English),Training Phrases (Spanish),Training Phrases (Spanish) - Updated
ides.UI_benefits_Covid19,Can I get money from unemployment due to the pandemic?,¿Puedo obtener dinero de desempleo debido a la pandemia?,¿Puedo obtener dinero por estar desempleado debido a la pandemia?
ides.UI_benefits_Covid19,Can I get unemployment because of the virus?,¿Puedo obtener el desempleo a causa del virus?,¿Puedo obtener el seguro de desempleo a causa del virus?
ides.UI_benefits_Covid19,Does the epidemic guarantee me to receive unemployment benefits?,No me garantiza la epidemia para recibir beneficios de desempleo?,¿Puedo recibir beneficios de desempleo por la pandemia?
ides.UI_benefits_Covid19,Can I receive unemployment because of the pandemic?,¿Puedo recibir el desempleo a causa de la pandemia?,¿Puedo recibir el seguro de desempleo a causa de la pandemia?
ides.UI_benefits_Covid19,Can covid affected workers avail unemployment benefits?,Puede covid trabajadores afectados aprovechar los beneficios de desempleo?,¿Los trabajadores afectados por el coronavirus pueden aprovechar los beneficios de desempleo?
ides.UI_benefits_Covid19,Would the unemployement benefits be provided to me?,Se proporcionarían los beneficios unemployement a mí?,¿Podré obtener los beneficios de desempleo?
ides.UI_benefits_Covid19,Who is eligible for unemployment insurance?,¿Quién es elegible para el seguro de desempleo?,¿Quién es elegible para el seguro de desempleo?
ides.UI_benefits_Covid19,What is the eligiblity criteria for claiming the insurance?,Cuál es el criterio elegibilidad para reclamar el seguro?,Cuáles son los criterios de elegibilidad para el seguro?
ides.UI_benefits_Covid19,Who all can claim for Unemployment benefits?,¿Quién puede reclamar todos los beneficios del desempleo?,¿Quién puede solicitar los beneficios de desempleo?
ides.UI_benefits_Covid19,Give me the eligibility criterias,Dame los criterios de elegibilidad,Quiero saber los criterios de elegibilidad.
ides.UI_benefits_Covid19,Could you tell me the eligibility criterias,¿Me podría decir los criterios de elegibilidad,¿Me podrían decir los criterios de elegibilidad?
ides.UI_benefits_Covid19,How can find out whether I fit the eligibility criteria,¿Cómo puede averiguar si encajo los criterios de elegibilidad,¿Cómo puedo averiguar si cumplo con los criterios de elegibilidad?
ides.UI_benefits_Covid19,Eligibility for unemployment insurance.,La elegibilidad para el seguro de desempleo.,Elegibilidad para el seguro de desempleo.
ides.UI_benefits_Covid19,Will I be given the unemployement insurance?,¿Me darán el seguro de desocupación?,¿Me darán el seguro de desempleo?
ides.UI_benefits_Covid19,What is the eligibilty criteria for the insurance?,Cuál es el criterio ELEGIBILIDAD para el seguro?,Cuáles son los criterios de elegibilidad para el seguro?
ides.UI_benefits_Covid19,"I have been affected due to Covid19, will this help me?","He visto afectada debido a Covid19, ayudará esto a mí?","La pandemia de COVID-19 me afectó, ¿esto me ayudará?"
ides.UI_benefits_Covid19,Is this useful for people affected by the pandemic?,¿Es esto útil para las personas afectadas por la pandemia?,¿Esto es útil para las personas afectadas por la pandemia?
ides.UI_benefits_Covid19,Will this work for covid19 cases?,Es que esto funciona para casos covid19?,¿Esto funciona para casos de COVID-19?
ides.UI_benefits_Covid19,Does this cover covid related unemployment?,Cubre esta covid desempleo relacionado?,¿Esto cubre los casos de desempleo debido a la covid?
ides.UI_benefits_Covid19,Can corona affected people apply for this?,Pueden corona personas afectadas solicitar este?,¿Pueden las personas afectadas por el coronavirus solicitar esto?
ides.UI_benefits_Covid19,Is this available for people affected by corona?,Es esta disponible para las personas afectadas por la corona?,¿Está esto disponible para las personas afectadas por el coronavirus?
ides.UI_benefits_Covid19,Am I eligible for UI due to COVID-19?,Soy elegible para la interfaz de usuario debido a COVID-19?,¿Soy elegible para obtener el seguro de desempleo debido a la COVID-19?
ides.UI_benefits_Covid19,What are the eligibility criteria for insurance in the current situation?,¿Cuáles son los criterios de elegibilidad para el seguro en la situación actual?,¿Cuáles son los criterios de elegibilidad para el seguro en la situación actual?
ides.UI_benefits_Covid19,Will I be given unemployment insurance due to coronavirus?,¿Me darán el seguro de desempleo debido al coronavirus?,¿Me darán el seguro de desempleo debido al coronavirus?
ides.UI_benefits_Covid19,Would the unemployment benefits be provided to me in the light of covid19?,Se proporcionarían los beneficios de desempleo para mí a la luz de covid19?,¿Podré obtener los beneficios de desempleo por la COVID-19?
ides.UI_benefits_Covid19,How do I know whether I can get unemployment insurance or not due to coronavirus?,"¿Cómo sé si puedo obtener un seguro de desempleo o no, debido a coronavirus?",¿Cómo sé si puedo o no obtener un seguro de desempleo por coronavirus?
ides.UI_benefits_Covid19,Will I be able to apply for unemployment benefits?,¿Voy a ser capaz de aplicar para beneficios de desempleo?,¿Podré solicitar los beneficios de desempleo?
ides.UI_benefits_Covid19,Eligibility for unemployment insurance due to coronavirus.,La elegibilidad para el seguro de desempleo debido a coronavirus.,Elegibilidad para el seguro de desempleo por coronavirus.
ides.UI_benefits_Covid19,"People unemployed because of covid19, can they avail the unemployment insurance?","Las personas en paro a causa de covid19, pueden hacer uso del seguro de desempleo?","Las personas sin trabajo a causa del coronavirus, ¿pueden hacer uso del seguro de desempleo?"
ides.UI_benefits_Covid19,How do I know whether I can get unemployment insurance or not?,¿Cómo sé si puedo obtener un seguro de desempleo o no?,¿Cómo sé si puedo o no obtener un seguro de desempleo?
ides.UI_benefits_Covid19,Do you have any clause for coronavirus?,¿Tiene alguna cláusula de coronavirus?,¿Hay alguna cláusula sobre el coronavirus?
ides.office_open,Can I come into your office?,¿Puedo entrar en tu oficina?,¿Puedo ir a su oficina?
ides.office_open,Do I need an appointment to come into the office?,¿Necesito una cita para ir a la oficina?,¿Necesito una cita para ir a la oficina?
ides.office_open,What are your office hours?,¿Cuáles son tus horas de oficina?,¿Cuál es el horario de oficina?
ides.office_open,Is your workplace functioning?,Está funcionando su lugar de trabajo?,¿Está funcionando su lugar de trabajo?
ides.office_open,Are you working or closed these days?,Trabaja o cerrado en estos días?,¿Está abierto o cerrado estos días?
ides.office_open,When will your offices open up?,Cuando se sus oficinas abrirse?,¿Cuándo van a abrir sus oficinas?
ides.office_open,How long will your offices remain closed?,¿Cuánto tiempo sus oficinas permanecerán cerradas?,¿Cuánto tiempo permanecerán cerradas sus oficinas?
ides.office_open,Are the offices currently closed?,Están las oficinas cerradas actualmente?,¿Están las oficinas cerradas actualmente?
ides.office_open,Are your offices open?,Son sus oficinas abiertas?,¿Están abiertas sus oficinas?
ides.office_open,Will the office be open?,¿La oficina estará abierta?,¿La oficina estará abierta?
ides.office_open,Is your office open today?,Es su oficina abierta hoy?,¿Está abierta la oficina hoy?
ides.office_open,when can I come to office?,cuándo puedo ir a la oficina?,¿Cuándo puedo ir a la oficina?
ides.office_open,Are the offices closed today?,Son las oficinas cerradas hoy?,¿Están cerradas las oficinas hoy?
